date,price,uup,gdp,prod,vader
2019-10-15,52.81,26.29,99.92073480959941,12735.483870967742,0.18818
2019-10-16,53.36,26.22,99.92091877131608,12745.161290322581,0.19277777777777777
2019-10-17,53.93,26.13,99.92110273303274,12754.838709677419,0.3778000000000001
2019-10-18,53.78,26.03,99.92128669474941,12764.516129032258,0.07748888888888887
2019-10-19,53.623333333333335,26.03666666666667,99.92147065646608,12774.193548387097,-0.5842
2019-10-20,53.46666666666667,26.043333333333333,99.92165461818276,12783.870967741936,0.5901
2019-10-21,53.31,26.05,99.92183857989943,12793.548387096775,0.034583333333333334
2019-10-22,54.16,26.11,99.9220225416161,12803.225806451614,0.21285
2019-10-23,55.97,26.1,99.92220650333277,12812.90322580645,0.1577111111111111
2019-10-24,56.23,26.18,99.92239046504945,12822.58064516129,0.42665714285714296
2019-10-25,56.66,26.21,99.92257442676612,12832.258064516129,0.15684444444444445
2019-10-26,56.376666666666665,26.203333333333333,99.92275838848279,12841.935483870968,-0.4019
2019-10-27,56.093333333333334,26.19666666666667,99.92294235019945,12851.612903225807,0.09387142857142859
2019-10-28,55.81,26.19,99.92312631191612,12861.290322580646,0.17882307692307692
2019-10-29,55.54,26.18,99.9233102736328,12870.967741935485,-0.015059999999999992
2019-10-30,55.06,26.12,99.92349423534947,12880.645161290322,0.1303090909090909
2019-10-31,54.18,26.07,99.92367819706614,12890.322580645161,0.05570999999999998
2019-11-01,56.2,26.06,99.92386215878281,12900.0,0.3348034482758621
2019-11-02,56.31333333333333,26.093333333333334,99.92423785643085,12900.0,-0.4939
2019-11-03,56.42666666666667,26.126666666666665,99.92461355407887,12900.0,0.037550000000000014
2019-11-04,56.54,26.16,99.92498925172691,12900.0,0.21514545454545456
2019-11-05,57.23,26.25,99.92536494937494,12900.0,0.399225
2019-11-06,56.35,26.25,99.92574064702298,12900.0,0.07221111111111114
2019-11-07,57.15,26.31,99.92611634467102,12900.0,-0.10788888888888887
2019-11-08,57.24,26.37,99.92649204231904,12900.0,0.28266
2019-11-09,57.11333333333334,26.356666666666666,99.92686773996708,12900.0,0.12345777777777778
2019-11-10,56.986666666666665,26.343333333333334,99.9272434376151,12900.0,-0.03574444444444444
2019-11-11,56.86,26.33,99.92761913526314,12900.0,0.698075
2019-11-12,56.8,26.37,99.92799483291118,12900.0,0.4573
2019-11-13,57.12,26.36,99.9283705305592,12900.0,0.28568333333333334
2019-11-14,56.77,26.34,99.92874622820725,12900.0,0.034487500000000025
2019-11-15,57.72,26.28,99.92912192585527,12900.0,0.228625
2019-11-16,57.49666666666666,26.263333333333335,99.92949762350331,12900.0,0.13266250000000002
2019-11-17,57.27333333333333,26.246666666666666,99.92987332115135,12900.0,0.03670000000000001
2019-11-18,57.05,26.23,99.93024901879937,12900.0,-0.0007142857142856911
2019-11-19,55.21,26.26,99.93062471644741,12900.0,0.14464000000000002
2019-11-20,57.11,26.26,99.93100041409544,12900.0,-0.052239999999999974
2019-11-21,58.58,26.3,99.93137611174348,12900.0,0.35172142857142863
2019-11-22,57.77,26.38,99.93175180939151,12900.0,-0.07676923076923076
2019-11-23,57.85,26.386666666666667,99.93212750703954,12900.0,0.4125
2019-11-24,57.93,26.39333333333333,99.93250320468758,12900.0,0.0
2019-11-25,58.01,26.4,99.9328789023356,12900.0,0.09366923076923075
2019-11-26,58.41,26.37,99.93325459998364,12900.0,0.19158125
2019-11-27,58.11,26.41,99.93363029763168,12900.0,0.0556875
2019-11-28,57.68,26.395,99.9340059952797,12900.0,0.4948333333333334
2019-11-29,57.25,26.38,99.93438169292774,12900.0,-0.12388461538461537
2019-11-30,56.82,26.343333333333334,99.93475739057577,12900.0,0.4215
2019-12-01,56.39,26.306666666666665,99.93513308822381,12900.0,0.303925
2019-12-02,55.96,26.27,99.93564992882106,12900.0,0.08455625
2019-12-03,56.1,26.24,99.93616676941832,12900.0,0.14793333333333333
2019-12-04,58.43,26.22,99.93668361001558,12900.0,0.21130909090909092
2019-12-05,58.43,26.16,99.93720045061283,12900.0,0.003466666666666662
2019-12-06,59.2,26.25,99.93771729121009,12900.0,0.174325
2019-12-07,59.14,26.24,99.93823413180735,12900.0,0.259625
2019-12-08,59.080000000000005,26.23,99.9387509724046,12900.0,0.0
2019-12-09,59.02,26.22,99.93926781300188,12900.0,0.2105
2019-12-10,59.24,26.2,99.93978465359913,12900.0,0.22948461538461537
2019-12-11,58.76,26.1,99.94030149419639,12900.0,0.05649310344827585
2019-12-12,59.18,26.14,99.94081833479365,12900.0,0.15538823529411763
2019-12-13,60.07,26.14,99.9413351753909,12900.0,0.11576
2019-12-14,60.11666666666667,26.123333333333335,99.94185201598816,12900.0,0.24695
2019-12-15,60.163333333333334,26.106666666666666,99.94236885658542,12900.0,-0.06132
2019-12-16,60.21,26.09,99.94288569718267,12900.0,0.01262499999999999
2019-12-17,60.94,26.14,99.94340253777993,12900.0,0.33142666666666665
2019-12-18,60.93,26.19,99.94391937837719,12900.0,0.20385294117647063
2019-12-19,61.22,26.19,99.94443621897445,12900.0,0.09332500000000002
2019-12-20,60.44,26.27,99.9449530595717,12900.0,0.13451875
2019-12-21,60.46666666666667,26.266666666666666,99.94546990016896,12900.0,0.018933333333333358
2019-12-22,60.49333333333333,26.263333333333335,99.94598674076622,12900.0,0.16281111111111113
2019-12-23,60.52,26.26,99.94650358136347,12900.0,0.15233947368421055
2019-12-24,60.906666666666666,26.26,99.94702042196073,12900.0,0.08531666666666667
2019-12-25,61.29333333333334,26.240000000000002,99.947537262558,12900.0,0.3741666666666667
2019-12-26,61.68,26.22,99.94805410315526,12900.0,0.19435789473684212
2019-12-27,61.72,26.09,99.94857094375251,12900.0,-0.08637000000000002
2019-12-28,61.70666666666666,26.073333333333334,99.94908778434977,12900.0,0.01823333333333335
2019-12-29,61.693333333333335,26.056666666666665,99.94960462494703,12900.0,0.008737500000000002
2019-12-30,61.68,26.04,99.95012146554429,12900.0,0.20267999999999997
2019-12-31,61.06,25.97,99.95063830614154,12900.0,0.15852962962962966
2020-01-01,61.120000000000005,26.015,99.9511551467388,12900.0,0.15622499999999997
2020-01-02,61.18,26.06,99.95178503609743,12906.451612903225,0.18167
2020-01-03,63.05,26.09,99.95241492545605,12912.90322580645,0.03922105263157894
2020-01-04,63.123333333333335,26.07,99.95304481481469,12919.354838709678,-0.18994999999999998
2020-01-05,63.196666666666665,26.05,99.95367470417331,12925.806451612903,0.13461666666666666
2020-01-06,63.27,26.03,99.95430459353194,12932.258064516129,-0.08121206896551725
2020-01-07,62.7,26.12,99.95493448289056,12938.709677419354,0.18452380952380948
2020-01-08,59.61,26.19,99.9555643722492,12945.161290322581,0.11244431818181817
2020-01-09,59.56,26.24,99.95619426160783,12951.612903225807,0.16720000000000002
2020-01-10,59.04,26.22,99.95682415096645,12958.064516129032,0.1340891891891892
2020-01-11,58.72,26.22,99.95745404032509,12964.516129032258,0.1293125
2020-01-12,58.4,26.22,99.95808392968371,12970.967741935483,-0.004100000000000002
2020-01-13,58.08,26.22,99.95871381904234,12977.41935483871,0.1381864864864865
2020-01-14,58.23,26.23,99.95934370840098,12983.870967741936,0.05650500000000001
2020-01-15,57.81,26.19,99.9599735977596,12990.322580645161,0.2112395348837209
2020-01-16,58.52,26.23,99.96060348711823,12996.774193548386,0.14194074074074078
2020-01-17,58.54,26.32,99.96123337647686,13003.225806451614,0.10882340425531917
2020-01-18,58.49,26.315,99.96186326583549,13009.677419354839,0.3627555555555555
2020-01-19,58.44,26.310000000000002,99.96249315519411,13016.129032258064,0.09043333333333332
2020-01-20,58.39,26.305,99.96312304455275,13022.58064516129,0.017793333333333345
2020-01-21,58.34,26.3,99.96375293391138,13029.032258064517,0.05922608695652176
2020-01-22,56.74,26.28,99.96438282327,13035.483870967742,0.17215000000000005
2020-01-23,55.59,26.35,99.96501271262863,13041.935483870968,-0.02251851851851853
2020-01-24,54.19,26.39,99.96564260198726,13048.387096774193,0.2035103448275862
2020-01-25,53.415,26.403333333333332,99.96627249134589,13054.838709677419,0.376244
2020-01-26,52.64,26.416666666666668,99.96690238070452,13061.290322580646,-0.07448333333333333
2020-01-27,53.14,26.43,99.96753227006315,13067.741935483871,0.018556756756756755
2020-01-28,53.48,26.43,99.96816215942178,13074.193548387097,0.1884526315789474
2020-01-29,53.33,26.47,99.9687920487804,13080.645161290322,0.12006842105263157
2020-01-30,52.14,26.39,99.96942193813904,13087.09677419355,0.09437142857142858
2020-01-31,51.56,26.28,99.97005182749766,13093.548387096775,0.005200000000000006
2020-02-01,51.285,26.323333333333334,99.97068171685629,13100.0,-0.0781857142857143
2020-02-02,51.01,26.366666666666667,99.80059214818935,13096.551724137931,0.03779999999999999
2020-02-03,50.11,26.41,99.63050257952241,13093.103448275862,-0.0023823529411764613
2020-02-04,49.61,26.45,99.46041301085546,13089.655172413793,0.2080060606060606
2020-02-05,50.75,26.55,99.29032344218852,13086.206896551725,0.14998775510204082
2020-02-06,50.95,26.6,99.12023387352158,13082.758620689656,0.06416388888888888
2020-02-07,50.32,26.66,98.95014430485465,13079.310344827587,0.14760000000000004
2020-02-08,50.04,26.673333333333332,98.78005473618771,13075.862068965518,0.08532272727272727
2020-02-09,49.76,26.686666666666667,98.60996516752077,13072.413793103447,0.3828142857142857
2020-02-10,49.57,26.7,98.43987559885382,13068.965517241379,0.04336470588235295
2020-02-11,49.94,26.67,98.26978603018688,13065.51724137931,0.15394285714285713
2020-02-12,51.17,26.74,98.09969646151994,13062.068965517241,0.05629444444444445
2020-02-13,51.42,26.77,97.929606892853,13058.620689655172,0.20041428571428574
2020-02-14,52.05,26.76,97.75951732418606,13055.172413793103,0.20951052631578948
2020-02-15,52.114999999999995,26.785,97.58942775551913,13051.724137931034,0.22890000000000002
2020-02-16,52.18,26.810000000000002,97.41933818685217,13048.275862068966,0.08794375
2020-02-17,52.114999999999995,26.835,97.24924861818523,13044.827586206897,0.19559166666666664
2020-02-18,52.05,26.86,97.0791590495183,13041.379310344828,0.23620000000000005
2020-02-19,53.29,26.91,96.90906948085136,13037.931034482759,0.17062075471698115
2020-02-20,53.78,26.99,96.73897991218442,13034.48275862069,0.17911967213114754
2020-02-21,53.38,26.83,96.56889034351748,13031.034482758621,-0.02403749999999999
2020-02-22,52.730000000000004,26.833333333333332,96.39880077485053,13027.586206896553,0.16340833333333335
